mc,mn,quarterbeats,quarterbeats_all_endings,duration_qb,mc_onset,mn_onset,timesig,staff,voice,duration,nominal_duration,scalar,tied,tpc,midi,name,octave,chord_id,color,time,dur,player,capped,conflicting
10,10,52,52,1.0,1/2,1/2,4/4,2,1,1/4,1/4,1,,1,43,G2,2,109,,19.083333333333325,0,3,True,False
10,10,53,53,1.0,3/4,3/4,4/4,2,1,1/4,1/4,1,,1,43,G2,2,110,,19.583333333333325,0,3,True,False
10,10,160/3,160/3,0.3333333333333333,5/6,5/6,4/4,1,1,1/12,1/8,2/3,,1,67,G4,4,105,,19.749999999999993,0,5,False,False
10,10,161/3,161/3,0.3333333333333333,11/12,11/12,4/4,1,1,1/12,1/8,2/3,,1,67,G4,4,106,,19.91666666666666,0,5,False,False
11,11,54,54,1.0,0,0,4/4,2,1,1/4,1/4,1,,2,38,D2,2,115,,20.08333333333333,0,0,True,False
11,11,54,54,1.0,0,0,4/4,1,1,1/4,1/4,1,,3,69,A4,4,111,,20.08333333333333,0,1,False,False
11,11,55,55,1.0,1/4,1/4,4/4,2,1,1/4,1/4,1,,2,38,D2,2,116,,20.58333333333333,0,0,True,False
11,11,167/3,167/3,0.3333333333333333,5/12,5/12,4/4,1,1,1/12,1/8,2/3,,2,74,D5,5,112,,20.91666666666666,0,1,False,False
11,11,56,56,1.0,1/2,1/2,4/4,2,1,1/4,1/4,1,,2,38,D2,2,117,,21.08333333333333,0,0,True,False
11,11,57,57,1.0,3/4,3/4,4/4,2,1,1/4,1/4,1,,2,38,D2,2,118,,21.58333333333333,0,0,True,False
11,11,172/3,172/3,0.3333333333333333,5/6,5/6,4/4,1,1,1/12,1/8,2/3,,6,66,F#4,4,113,,21.749999999999996,0,0,False,False
11,11,173/3,173/3,0.3333333333333333,11/12,11/12,4/4,1,1,1/12,1/8,2/3,,6,66,F#4,4,114,,21.916666666666664,0,0,False,False
12,12,58,58,1.0,0,0,4/4,2,1,1/4,1/4,1,,4,40,E2,2,124,,22.083333333333332,0,1,True,False
12,12,58,58,0.6666666666666666,0,0,4/4,1,1,1/6,1/4,2/3,,6,66,F#4,4,119,,22.083333333333332,0,0,False,False
12,12,176/3,176/3,0.3333333333333333,1/6,1/6,4/4,1,1,1/12,1/8,2/3,,4,64,E4,4,120,,22.416666666666664,0,2,False,False
12,12,59,59,1.0,1/4,1/4,4/4,2,1,1/4,1/4,1,,4,40,E2,2,125,,22.583333333333332,0,1,True,False
12,12,60,60,1.0,1/2,1/2,4/4,2,1,1/4,1/4,1,,4,40,E2,2,126,,23.083333333333332,0,1,True,False
12,12,60,60,0.6666666666666666,1/2,1/2,4/4,1,1,1/6,1/4,2/3,,6,66,F#4,4,121,,23.083333333333332,0,0,False,False
12,12,60,60,0.6666666666666666,1/2,1/2,4/4,1,1,1/6,1/4,2/3,,6,78,F#5,5,121,,23.083333333333332,0,3,False,False
